Ano Censo,Número de Funções Docentes,Abragência Geográfica (IES),Região,UF
2012,362732,BRASIL,,
2012,32487,CENTRO-OESTE,CENTRO-OESTE,
2012,8760,DISTRITO FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL
2012,12685,GOIÁS,CENTRO-OESTE,GOIÁS
2012,6346,MATO GROSSO,CENTRO-OESTE,MATO GROSSO
2012,4696,MATO GROSSO DO SUL,CENTRO-OESTE,MATO GROSSO DO SUL
2012,73555,NORDESTE,NORDESTE,
2012,4602,ALAGOAS,NORDESTE,ALAGOAS
2012,17560,BAHIA,NORDESTE,BAHIA
2012,9635,CEARÁ,NORDESTE,CEARÁ
2012,5405,MARANHÃO,NORDESTE,MARANHÃO
2012,8154,PARAÍBA,NORDESTE,PARAÍBA
2012,12947,PERNAMBUCO,NORDESTE,PERNAMBUCO
2012,5865,PIAUÍ,NORDESTE,PIAUÍ
2012,6321,RIO GRANDE DO NORTE,NORDESTE,RIO GRANDE DO NORTE
2012,3066,SERGIPE,NORDESTE,SERGIPE
2012,23228,NORTE,NORTE,
2012,1134,ACRE,NORTE,ACRE
2012,1369,AMAPÁ,NORTE,AMAPÁ
2012,5612,AMAZONAS,NORTE,AMAZONAS
2012,8147,PARÁ,NORTE,PARÁ
2012,2763,RONDÔNIA,NORTE,RONDÔNIA
2012,1152,RORAIMA,NORTE,RORAIMA
2012,3051,TOCANTINS,NORTE,TOCANTINS
2012,164359,SUDESTE,SUDESTE,
2012,6890,ESPÍRITO SANTO,SUDESTE,ESPÍRITO SANTO
2012,41268,MINAS GERAIS,SUDESTE,MINAS GERAIS
2012,32845,RIO DE JANEIRO,SUDESTE,RIO DE JANEIRO
2012,83356,SÃO PAULO,SUDESTE,SÃO PAULO
2012,69103,SUL,SUL,
2012,28513,PARANÁ,SUL,PARANÁ
2012,23788,RIO GRANDE DO SUL,SUL,RIO GRANDE DO SUL
2012,16802,SANTA CATARINA,SUL,SANTA CATARINA
