Ano Censo,Categoria Administrativa,Sub Categoria Administrativa,Id Categoria Administrativa,Número de Vínculos de Alunos,Região,UF,Nome Região
2013,PÚBLICA,FEDERAL,1,30725,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2013,PÚBLICA,FEDERAL,1,30361,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2013,PÚBLICA,FEDERAL,1,24458,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2013,PÚBLICA,FEDERAL,1,23033,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2013,PÚBLICA,FEDERAL,1,33780,NORDESTE,ALAGOAS,NORDESTE
2013,PÚBLICA,FEDERAL,1,45379,NORDESTE,BAHIA,NORDESTE
2013,PÚBLICA,FEDERAL,1,39976,NORDESTE,CEARÁ,NORDESTE
2013,PÚBLICA,FEDERAL,1,28851,NORDESTE,MARANHÃO,NORDESTE
2013,PÚBLICA,FEDERAL,1,52634,NORDESTE,PARAÍBA,NORDESTE
2013,PÚBLICA,FEDERAL,1,49141,NORDESTE,PERNAMBUCO,NORDESTE
2013,PÚBLICA,FEDERAL,1,30861,NORDESTE,PIAUÍ,NORDESTE
2013,PÚBLICA,FEDERAL,1,38857,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2013,PÚBLICA,FEDERAL,1,29597,NORDESTE,SERGIPE,NORDESTE
2013,PÚBLICA,FEDERAL,1,9370,NORTE,ACRE,NORTE
2013,PÚBLICA,FEDERAL,1,6585,NORTE,AMAPÁ,NORTE
2013,PÚBLICA,FEDERAL,1,36140,NORTE,AMAZONAS,NORTE
2013,PÚBLICA,FEDERAL,1,59406,NORTE,PARÁ,NORTE
2013,PÚBLICA,FEDERAL,1,9661,NORTE,RONDÔNIA,NORTE
2013,PÚBLICA,FEDERAL,1,7610,NORTE,RORAIMA,NORTE
2013,PÚBLICA,FEDERAL,1,18838,NORTE,TOCANTINS,NORTE
2013,PÚBLICA,FEDERAL,1,26312,SUDESTE,ESPÍRITO SANTO,SUDESTE
2013,PÚBLICA,FEDERAL,1,160564,SUDESTE,MINAS GERAIS,SUDESTE
2013,PÚBLICA,FEDERAL,1,124841,SUDESTE,RIO DE JANEIRO,SUDESTE
2013,PÚBLICA,FEDERAL,1,39813,SUDESTE,SÃO PAULO,SUDESTE
2013,PÚBLICA,FEDERAL,1,53842,SUL,PARANÁ,SUL
2013,PÚBLICA,FEDERAL,1,92966,SUL,RIO GRANDE DO SUL,SUL
2013,PÚBLICA,FEDERAL,1,34250,SUL,SANTA CATARINA,SUL
2013,PÚBLICA,ESTADUAL,2,747,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2013,PÚBLICA,ESTADUAL,2,18093,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2013,PÚBLICA,ESTADUAL,2,14572,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2013,PÚBLICA,ESTADUAL,2,7489,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2013,PÚBLICA,ESTADUAL,2,8593,NORDESTE,ALAGOAS,NORDESTE
2013,PÚBLICA,ESTADUAL,2,53329,NORDESTE,BAHIA,NORDESTE
2013,PÚBLICA,ESTADUAL,2,38369,NORDESTE,CEARÁ,NORDESTE
2013,PÚBLICA,ESTADUAL,2,23521,NORDESTE,MARANHÃO,NORDESTE
2013,PÚBLICA,ESTADUAL,2,18664,NORDESTE,PARAÍBA,NORDESTE
2013,PÚBLICA,ESTADUAL,2,18264,NORDESTE,PERNAMBUCO,NORDESTE
2013,PÚBLICA,ESTADUAL,2,16199,NORDESTE,PIAUÍ,NORDESTE
2013,PÚBLICA,ESTADUAL,2,11976,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2013,PÚBLICA,ESTADUAL,2,25,NORDESTE,SERGIPE,NORDESTE
2013,PÚBLICA,ESTADUAL,2,2348,NORTE,AMAPÁ,NORTE
2013,PÚBLICA,ESTADUAL,2,18831,NORTE,AMAZONAS,NORTE
